-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-39,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-39,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-40,0,48
-39,0,48
-39,0,48
-40,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,48
-39,0,49
-39,0,48
-39,0,48
-39,0,49
-39,0,49
-39,0,49
-39,0,49
-39,0,48
-39,0,49
-39,0,49
-39,0,49
-39,0,49
-39,0,49
-39,-1,48
-40,1,49
-36,-1,51
-43,-1,47
-40,2,50
-37,0,50
-37,0,50
-41,1,48
-40,-1,46
-44,-2,47
-39,7,56
-12,-4,61
-35,-3,46
-32,-1,51
-26,0,58
-33,0,54
-23,-3,60
-27,0,53
-28,-1,52
-29,2,56
-25,-4,61
-22,-1,59
-19,-2,58
-24,-2,56
-27,-2,54
-27,-1,63
-25,-3,59
-22,-2,52
-29,-2,55
-29,-1,58
-23,-2,57
-24,-2,57
